,Team1,Team2,Winner,Margin,Ground,Date,Match_id,URL
11,Ireland,West Indies,Ireland,9 wickets,Hobart,"Oct 21, 2022",T20I # 1837,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/ireland-vs-west-indies-11th-match-first-round-group-b-1298145/full-scorecard
12,Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,"Oct 21, 2022",T20I # 1838,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/scotland-vs-zimbabwe-12th-match-first-round-group-b-1298146/full-scorecard
13,Australia,New Zealand,New Zealand,89 runs,Sydney,"Oct 22, 2022",T20I # 1839,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/australia-vs-new-zealand-13th-match-group-1-1298147/full-scorecard
14,Afghanistan,England,England,5 wickets,Perth,"Oct 22, 2022",T20I # 1840,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/afghanistan-vs-england-14th-match-group-1-1298148/full-scorecard
15,Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,"Oct 23, 2022",T20I # 1841,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/ireland-vs-sri-lanka-15th-match-group-1-1298149/full-scorecard
16,India,Pakistan,India,4 wickets,Melbourne,"Oct 23, 2022",T20I # 1842,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/india-vs-pakistan-16th-match-group-2-1298150/full-scorecard
17,Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,"Oct 24, 2022",T20I # 1843,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/bangladesh-vs-netherlands-17th-match-group-2-1298151/full-scorecard
18,South Africa,Zimbabwe,no result,-,Hobart,"Oct 24, 2022",T20I # 1844,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/south-africa-vs-zimbabwe-18th-match-group-2-1298152/full-scorecard
19,Australia,Sri Lanka,Australia,7 wickets,Perth,"Oct 25, 2022",T20I # 1845,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/australia-vs-sri-lanka-19th-match-group-1-1298153/full-scorecard
20,England,Ireland,Ireland,5 runs,Melbourne,"Oct 26, 2022",T20I # 1846,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/england-vs-ireland-20th-match-group-1-1298154/full-scorecard
